Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
RWO,State Street SPDR Dow Jones Global Real Estate ETF,Real Estate,"$1,211,450,000",9.81%,"48,265",$49.14,1.26%,No,False,0.18%,8.41%,18.64%,10.01%,3.38%,$0.00,$0.00,$0.00,"-$6,563,596.50","-$256,979,826.00","-$500,218,673.30",Global Real Estate,2008-05-07,0.50%,2 Platforms,$1.62,2026-03-23,$0.28,3.29%,28.65,0.94,225,43.00%,40%,20%,1099,$44.53,$50.60,N/A,N/A,59.99,A-,N/A,A,B,B,A-,6.33,25.52%,40.07%,79.61,0.00%,30.73%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,"$1,095,490,000",11.71%,"31,284",$103.00,1.30%,No,False,0.28%,8.94%,17.77%,11.27%,5.55%,"$44,175,250.00",$0.00,"$2,406,250.00","$104,586,000.00","$153,519,250.00","-$499,942,500.00",Real Estate,2018-06-15,0.11%,N/A,$2.90,2026-03-24,$0.40,2.81%,0.00,1.00,108,50.24%,40%,20%,1099,$93.00,$105.91,N/A,N/A,61.81,B,N/A,B+,B-,B,N/A,5.86,21.56%,28.62%,75.9,3.68%,20.41%
HAUZ,DBX ETF Trust - Xtrackers International Real Estate ETF,Real Estate,"$1,061,950,000",2.59%,"108,646",$23.81,-0.50%,No,False,-1.12%,5.89%,17.43%,8.17%,0.38%,"$87,010,550.00","$1,216,050.00","$16,264,000.00","$174,957,350.00","$368,935,150.00","$676,477,200.00",Global Real Estate,2013-10-01,0.10%,N/A,$1.04,2025-12-19,$0.57,4.35%,0.00,0.77,401,23.03%,40%,20%,1099,$21.86,$24.93,$23.62,$24.03,51.32,A-,N/A,C,A,A-,N/A,6.76,83.98%,57.68%,64.46,1.25%,32.75%
REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,"$806,442,000",6.74%,"59,786",$88.21,2.24%,No,False,-0.14%,6.60%,9.36%,10.27%,4.79%,"$4,733,652.05",$0.00,"-$168,141.10","-$32,283,428.85","$92,201,022.70","$294,863,275.80",Real Estate,2007-05-01,0.48%,N/A,$1.90,2025-12-16,$0.91,2.15%,43.93,0.88,39,68.06%,40%,20%,1099,$81.74,$90.36,$86.98,$88.87,55.66,B+,N/A,A,B-,C+,B+,4.9,8.38%,14.05%,58.5,0.00%,15.22%
AVRE,Avantis Real Estate ETF,Real Estate,"$777,610,000",8.85%,"64,435",$47.35,0.89%,No,False,0.06%,8.47%,15.70%,8.37%,N/A,"$54,815,312.00",$0.00,"$8,882,924.00","$159,142,368.00","$402,842,160.00","$716,444,500.00",Global Real Estate,2021-09-28,0.17%,N/A,$1.64,2026-03-10,$0.04,3.46%,0.00,0.92,325,40.39%,40%,20%,1099,$42.70,$48.84,N/A,N/A,61.07,B+,N/A,N/A,B+,B+,N/A,6.46,45.70%,45.45%,77.72,2.24%,26.04%
REM,iShares Mortgage Real Estate ETF,Real Estate,"$574,940,000",3.34%,"824,919",$22.75,-0.74%,No,False,1.45%,11.25%,21.58%,10.99%,-0.42%,"-$68,000,497.70","-$4,509,116.90","-$9,599,284.35","-$28,179,311.60","-$6,787,567.00","-$550,472,795.50",Real Estate,2007-05-01,0.48%,N/A,$1.98,2026-03-17,$0.16,8.70%,10.75,1.25,33,71.92%,40%,20%,1099,$20.59,$23.50,$22.63,$22.89,57.10,A,N/A,C,C,A,B,4.49,5.99%,10.19%,1.87,0.00%,0.01%
MORT,VanEck Mortgage REIT Income ETF,Real Estate,"$409,076,000",3.21%,"1,731,600",$10.47,-0.66%,No,False,1.36%,10.79%,20.82%,10.98%,-0.29%,"$32,985,025.00","$1,579,305.00","$6,248,025.00","$119,353,310.00","$248,967,680.00","$243,219,230.00",Real Estate,2011-08-16,0.42%,N/A,$1.32,2026-04-01,$0.36,12.62%,8.87,1.23,26,70.18%,40%,20%,1099,$9.50,$10.81,$10.41,$10.54,56.85,A,N/A,C,C,A+,C+,4.25,3.59%,2.78%,2.06,0.00%,0.01%
SRVR,Pacer Data & Infrastructure Real Estate ETF,Real Estate,"$399,642,000",23.96%,"93,824",$35.25,0.77%,No,False,1.41%,13.42%,25.01%,9.23%,0.80%,"-$44,104,440.00",$0.00,"$8,360,975.00","-$51,746,730.00","-$355,217,910.00","-$447,713,485.00",Real Estate,2018-05-15,0.49%,N/A,$0.92,2026-03-05,$0.24,2.61%,0.00,0.99,65,69.66%,40%,20%,1099,$29.83,$36.38,$34.91,$35.53,67.37,B+,N/A,C+,B-,C,N/A,8.23,100.00%,97.70%,392.32,14.00%,32.95%
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"$370,980,000",8.72%,"15,130",$63.91,0.66%,No,False,0.18%,7.67%,17.22%,10.49%,3.31%,"-$317,550.00",$0.00,"$2,937,090.00","-$81,221,770.00","-$18,368,255.00","$16,991,735.00",Global Real Estate,2013-11-05,0.45%,N/A,$2.75,2026-03-20,$0.08,4.30%,28.00,0.94,136,37.03%,40%,20%,1099,$58.20,$65.91,N/A,N/A,59.54,B,N/A,B+,A-,A-,N/A,6.56,64.39%,48.99%,47.65,5.29%,22.11%
RWX,State Street SPDR Dow Jones International Real Estate ETF,Real Estate,"$278,901,000",1.38%,"34,278",$28.19,-0.67%,No,False,-1.36%,5.29%,13.78%,5.64%,-0.78%,"-$19,740,522.95",$0.00,"-$6,988,480.25","-$21,705,039.15","-$170,883,723.45","-$454,560,084.55",Global Real Estate,2006-12-14,0.59%,TD Ameritrade,$1.02,2026-03-23,$0.19,3.60%,15.90,0.79,124,29.24%,40%,20%,1099,$25.91,$29.50,$28.04,$28.42,51.48,A,N/A,B,A-,B-,B+,7.12,93.18%,73.26%,54.94,0.00%,47.89%
