Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BFAP,FT Vest Bitcoin Strategy Floor15 ETF April,N/A,"$1,528,730",-15.92%,763,$15.26,-0.46%,No,False,1.36%,1.70%,-28.09%,N/A,N/A,$0.00,$0.00,$0.00,"-$81,250.00","$918,750.00","$918,750.00",N/A,2025-04-03,0.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.20,2,100.00%,40%,20%,1099,$14.23,$15.41,$15.20,$15.32,50.08,A-,N/A,N/A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SOLC,Canary Marinade Solana ETF,N/A,"$1,210,690",-29.84%,"2,681",$16.88,-2.37%,No,False,-5.10%,-3.47%,N/A,N/A,N/A,"-$229,232.00",$0.00,$0.00,"$1,106,333.00","$1,106,333.00","$1,106,333.00",N/A,2025-11-18,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.26,1,100.00%,40%,20%,1099,$15.59,$17.68,$16.86,$16.89,47.33,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SOLM,Amplify Solana 3% Monthly Option Income ETF,Currency,"$1,164,800",-32.87%,"4,559",$11.34,-2.49%,No,False,-4.82%,-3.33%,N/A,N/A,N/A,"$1,101,812.00",$0.00,"-$216,946.00","$1,851,787.00","$1,851,787.00","$1,851,787.00",Currency,2025-11-04,0.75%,N/A,$2.44,2026-03-30,$0.35,21.50%,0.00,-3.01,9,100.00%,40%,20%,1099,$10.47,$11.87,$11.27,$11.44,46.77,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
STLU,Volatility Shares 2x Stellar ETF,N/A,"$1,126,980",N/A,N/A,$21.66,-3.73%,No,False,8.72%,4.05%,N/A,N/A,N/A,"$1,010,479.79",$0.00,"$1,010,479.79","$1,010,479.79","$1,010,479.79","$1,010,479.79",N/A,2026-04-01,1.85%,N/A,$0.00,2026-04-22,$0.00,0.01%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$21.66,$21.66,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CHNU,Volatility Shares 2x Chainlink ETF,N/A,"$1,122,420",N/A,N/A,$21.74,-2.95%,No,False,-8.03%,4.16%,N/A,N/A,N/A,"$989,980.20",$0.00,"$989,980.20","$989,980.20","$989,980.20","$989,980.20",N/A,2026-04-01,1.85%,N/A,$0.00,2026-04-22,$0.00,0.01%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$21.59,$21.82,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CHNL,VolatilityShares Chainlink ETF,N/A,"$1,083,640",N/A,N/A,$21.33,-1.52%,No,False,-3.98%,2.67%,N/A,N/A,N/A,"$1,011,979.76",$0.00,"$1,011,979.76","$1,011,979.76","$1,011,979.76","$1,011,979.76",N/A,2026-04-01,1.15%,N/A,$0.01,2026-04-22,$0.01,0.07%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$21.33,$21.33,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
STLR,Volatility Shares Stellar ETF,N/A,"$1,073,150",N/A,N/A,$21.05,0.00%,No,False,4.36%,2.64%,N/A,N/A,N/A,"$1,010,479.79",$0.00,"$1,010,479.79","$1,010,479.79","$1,010,479.79","$1,010,479.79",N/A,2026-04-01,1.15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40%,20%,1099,N/A,N/A,$20.95,$21.25,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CRDX,Volatility Shares 2x Cardano ETF,N/A,"$1,066,140",N/A,N/A,$20.33,-4.37%,No,False,-11.48%,-5.38%,N/A,N/A,N/A,"$1,000,979.98",$0.00,"$1,000,979.98","$1,000,979.98","$1,000,979.98","$1,000,979.98",N/A,2026-04-01,1.85%,N/A,$0.00,2026-04-22,$0.00,0.01%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$20.06,$20.76,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CRDD,Volatility Shares Cardano ETF,N/A,"$1,030,640",N/A,N/A,$20.12,-2.24%,No,False,-5.79%,-1.87%,N/A,N/A,N/A,"$988,980.22",$0.00,"$988,980.22","$988,980.22","$988,980.22","$988,980.22",N/A,2026-04-01,1.15%,N/A,$0.01,2026-04-22,$0.01,0.07%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$19.90,$20.35,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TXBC,21Shares FTSE Crypto 10 ex-BTC Index ETF,N/A,"$992,418",-22.40%,"1,281",$16.14,-2.30%,No,False,-2.13%,3.44%,N/A,N/A,N/A,"$321,646.00","$321,646.00","$321,646.00","$1,321,621.00","$1,321,621.00","$1,321,621.00",N/A,2025-11-13,0.65%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.86,11,99.23%,40%,20%,1099,$14.38,$16.88,$16.14,$16.14,50.92,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HBTC,Fortuna Hedged Bitcoin ETF,N/A,"$850,376",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$1,986.00",$0.00,"-$4,039.00","$576,770.00","$1,076,745.00","$1,076,745.00",N/A,2025-03-19,1.97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,100.00%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EHCC,Global X Ethereum Covered Call ETF,N/A,"$810,387",N/A,N/A,$26.44,-2.22%,No,False,-1.79%,9.42%,N/A,N/A,N/A,"$504,974.75",$0.00,"$504,974.75","$504,974.75","$504,974.75","$504,974.75",N/A,2026-04-01,0.75%,N/A,$0.43,2026-04-20,$0.22,1.61%,0.00,0.00,N/A,N/A,40%,20%,1099,N/A,N/A,$26.44,$26.44,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TTOP,21Shares FTSE Crypto 10 Index ETF,N/A,"$740,648",-14.31%,592,$18.22,-1.73%,No,False,1.66%,8.76%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$999,975.00","$999,975.00","$999,975.00",N/A,2025-11-13,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.48,10,100.00%,40%,20%,1099,$15.46,$18.83,$18.22,$18.22,55.61,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IETH,Bitwise Ethereum Option Income Strategy ETF,N/A,"$682,231",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"-$38,610.00",$0.00,"-$224,150.00","$625,950.00","$625,950.00","$625,950.00",N/A,2025-10-02,0.97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,100.00%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BWOW,Bitwise Dogecoin ETF,N/A,"$635,160",-17.76%,822,$15.81,-0.19%,No,False,-3.15%,2.78%,N/A,N/A,N/A,"-$406,960.00",$0.00,$0.00,"-$1,379,800.00","-$1,379,800.00","-$1,379,800.00",N/A,2025-11-25,0.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.47,1,100.00%,40%,40%,1099,$14.53,$16.25,$15.68,$15.88,49.07,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SOLX,T-REX 2X Long SOL Daily Target ETF,N/A,"$468,735",-62.53%,"8,919",$8.94,0.00%,No,False,-13.63%,-13.82%,N/A,N/A,N/A,"$631,849.00",$0.00,$0.00,"$881,824.00","$881,824.00","$881,824.00",N/A,2025-12-02,1.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100.00%,40%,20%,1099,$8.08,$10.11,$8.76,$9.13,42.89,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XRPK,T-REX 2X Long XRP Daily Target ETF,N/A,"$340,328",-57.37%,"3,897",$8.38,0.00%,No,False,-9.51%,-8.36%,N/A,N/A,N/A,"$741,525.00",$0.00,$0.00,"$991,500.00","$991,500.00","$991,500.00",N/A,2025-12-02,1.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100.00%,40%,20%,1099,$7.10,$9.24,$8.27,$8.43,44.08,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
KRYP,ProShares CoinDesk 20 Crypto ETF,N/A,"$5,370",N/A,N/A,$22.45,0.00%,No,False,-0.69%,2.29%,N/A,N/A,N/A,$545.89,$0.00,$0.00,$545.89,$545.89,$545.89,N/A,2026-02-04,0.58%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100.00%,40%,20%,1099,$19.73,$23.44,$22.31,$22.55,51.60,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
